ro,en
asta,to stay
pentru,for
este,It is
sunt,are
bine,good
fost,former
care,which
aici,here
dacă,if
trebuie,must
acum,now
ceva,something
când,When
doar,just
eşti,you
mine,me
tine,YOU
poate,may be
face,do what
cred,I guess
spus,SAPS
ştiu,know
unde,where
mult,a lot
vreau,I want
despre,about
vrei,want
foarte,very
pare,seems
acolo,there
chiar,even
bună,Hi
nimic,nothing
faci,do
făcut,made
cine,who
nici,neither
putea,can
ştii,Know
nevoie,need
trebui,have
atunci,then
timp,time
spun,I say
acest,this
nu-i,not
spune,say
avem,we
poţi,You can
după,after
deci,so
prea,too
mulţumesc,thanks
să-l,shawl
cineva,someone
toate,all
suntem,WE
sigur,sure
vrea,like
mare,big
până,until
haide,Come on
crezi,believe
încă,yet
stai,stay
atât,so much
totul,all
avea,have
venit,income
spui,say
ăsta,to stay
avut,HAD
m-am,I
lucru,working
să-ţi,your
văzut,seen
să-i,Let's
putem,can
ceea,EAEC
n-am,I
să-mi,me
fără,free
mama,mother
place,like
decât,than
domnule,mister
niciodată,never
regulă,rule
mi-a,MY
prin,through
esti,you
înainte,before
mergem,Go
unul,one
uite,look
puţin,little bit
nimeni,no one
toată,all
apoi,then
vezi,see
întâmplat,happen
l-am,I
naiba,heck
oameni,people
facem,we make
acasă,the home
multe,many
lumea,the world
două,two
toţi,all
nu-mi,I do not
daca,if
timpul,time
această,This one
orice,anything
oamenii,people
auzit,heard
luat,taken
fiecare,every
peste,over
vrut,WANTED
înapoi,back
într-o,a
astea,these
dintre,from
merge,go
nişte,some
trei,three
numele,name
găsit,finder
doamne,gosh
mele,my
te-ai,you
stiu,know
aceasta,This one
du-te,Go
viaţa,life
deja,already
ziua,day
dată,date
parte,part
i-am,I
vino,come over
destul,enough
câteva,some
există,there is
serios,seriously
gata,ready
bani,money
vorbesc,I'm talking
tatăl,father
aproape,close
vedem,We see
afară,outside
numai,no more
întâmplă,happen
nostru,our
adevărat,true
noastră,Our
înseamnă,means
într-un,a
eram,we were
locul,the place
scuze,Sorry
acesta,this
vine,it's coming
repede,quick
fapt,fact
te-am,I
putut,could
grijă,care
tale,your
lucruri,things
singur,single
prima,received
casa,home
probabil,probable
ajuns,made
exact,exact
ştie,know
sunteţi,you
dreptate,justice
simt,sense
tocmai,just
noapte,night
cele,the
târziu,Late
trecut,last
zile,days
facă,make
mereu,always
adică,namely
partea,the
seara,in the evening
lucrurile,the things
unui,a
împreună,together
plecat,gone
crezut,thought
omule,man
fata,face
imediat,immediate
ne-am,we
spre,to
ţi-am,I
departe,far away
aceste,these
terminat,done
început,beginning
trebuia,had
iubesc,I love
m-ai,May
stii,Know
măcar,even
pierdut,lost
tata,father
copii,BOYS
frumos,beautiful
banii,the money
mâine,tomorrow
n-ai,pan flute
mi-am,I
mamă,mother
treaba,the job
